Chinese	Translated
乾外卦	건외괘
乾內卦	건내괘
內外同乾	내외동건
氣血活絡	혈기왕성
筋脈疏通	근맥소통
穩紮穩打	은찰은타
氣宇軒昂	기우헌앙
瞎貓摸耗	할묘막모
快腿疾足	십행구하
有道之刃	유도지인
藥通氣血	약통기혈
建體強身	신체강건
氣納百匯	기납백휘
刀行鶴唳	도행학려
處變不驚	처변불경
先劍之明	선견지명
動如脫兔	동여탈토
君子之爭	군자투쟁
藥通經絡	약통경락
強化定力	정력강화
川流不息	천류불식
暴戾之氣	폭려지기
聚沙成塔	취사성탑
拳拳到肉	절실도육
迷蹤拳	미행권
博甲通鍇	투갑미개
藥通肺腑	약통패부
坤外卦	곤외괘
坤內卦	곤내괘
內外同坤	내외동곤
運氣療傷	운기요상
待勢乘時	대세승시
棍行攝魂	곤행섭혼
意到武隨	의도무수
當頭棒喝	당두봉갈
風馳雨驟	뇌려풍비
四兩千斤	사량천근
活血藥術	활혈약술
根結盤踞	근결반거
火中取栗	화중취율
拳行無常	권행무상
革圖易慮	혁도이려
一矢中的	일시일발
聞風而遁	풍문이둔
險中求生	암중구생
通氣藥術	통기약술
與時俱進	여시구진
量入為出	양입위출
玉石俱焚	옥석구분
計不旋踵	계부선종
刀刀見骨	추도지말
迅雷劍	신뢰검
藥出有名	약출유명
強身藥術	강신약술
離外卦	이외괘
離內卦	이내괘
內外同離	내외동이
保體益壽	보체익수
謀定而動	모정이동
落井下石	낙정하석
棋布星羅	기보성나
長驅直入	파죽지세
遊龍步	천용보
討價還價	토개환개
武識精湛	무식영걸
化勁延年	화경연년
日月入懷	일월입회
趁勝追擊	진승추격
臨危不亂	임위불난
諸行無常	무념무상
迅心慧眼	심신혜안
先難後獲	선난후확
專心致志	전심전력
偷魂竊命	투혼절명
開源節流	개원절류
劍行盛氣	검행성기
應付裕如	응부유여
延臆神測	새옹지마
大步流星	대보유성
以利服人	이이복인
文識淵博	문식연박
坎外卦	감외괘
坎內卦	감내괘
內外同坎	내외동감
震外卦	진외괘
震內卦	진내괘
內外同震	내외동진
巽外卦	손외괘
巽內卦	손내괘
內外同巽	내외동손
艮外卦	간외괘
艮內卦	간내괘
內外同艮	내외동간
兌外卦	태외괘
兌內卦	태내괘
內外同兌	내외동태
血毒	피독
亂脈	난맥
毒蠱入髓	독고입수
緩速	감속
中毒	중독
喪志	공격 하락
麻痺	마비
出血	출혈
破綻	방어 하락
點穴	점혈
火毒	화독
內傷	내상
極寒毒	극한독
光明神功	광명신공
蠱躍聖經	고약성경
